CA,AA,CB,AB,DOM,INT,PRED,ZA,ZB,TA,TB,AT
AT+PNT,El Guardián,PNT+AT+ANT,El Legionario,B,VL,@VENT_LIG El Legionario.,"@ZK_D, @ZK_A","@ZK_A, @ZK_D, @ZK_B",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PNT+AT+PT,El Centinela de Acero,B,=,@EQUIL El Guardián y El Centinela de Acero.,"@ZK_D, @ZK_A","@ZK_A, @ZK_D, @ZK_C",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PNT+PT+AT,El Bastión del Ritmo,B,=,@EQUIL El Guardián y El Bastión del Ritmo.,"@ZK_D, @ZK_A","@ZK_A, @ZK_C, @ZK_D",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+ANT+AT,El Constructor del Combate,A,=,@EQUIL El Guardián y El Constructor del Combate.,"@ZK_D, @ZK_A","@ZK_C, @ZK_B, @ZK_D",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+AT+ANT,El Estrangulador Táctico,A,VL,@VENT_LIG El Guardián.,"@ZK_D, @ZK_A","@ZK_C, @ZK_D, @ZK_B",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+AT+PNT,El Táctico Blindado,A,=,@EQUIL El Guardián y El Táctico Blindado.,"@ZK_D, @ZK_A","@ZK_C, @ZK_D, @ZK_A",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+PNT+AT,El Monje de la Jaula,A,=,@EQUIL El Guardián y El Monje de la Jaula.,"@ZK_D, @ZK_A","@ZK_C, @ZK_A, @ZK_D",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,ANT+PNT+PT,El Ciclón Imparable,B,VL,@VENT_LIG El Ciclón Imparable.,"@ZK_D, @ZK_A","@ZK_B, @ZK_A, @ZK_C",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,ANT+PT+PNT,El Gladiador Salvaje,B,=,@EQUIL El Guardián y El Gladiador Salvaje.,"@ZK_D, @ZK_A","@ZK_B, @ZK_C, @ZK_A",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Gladiador Salvaje @ZB_ACT y El Gladiador Salvaje @ZC_PREC y El Gladiador Salvaje @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PNT+ANT+PT,El Martillo de Hierro,B,VL,@VENT_LIG El Martillo de Hierro.,"@ZK_D, @ZK_A","@ZK_A, @ZK_B, @ZK_C",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Martillo de Hierro @ZR_DEF y El Martillo de Hierro @ZB_ACT y El Martillo de Hierro @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PNT+PT+ANT,El Coloso Salvaje,B,VL,@VENT_LIG El Coloso Salvaje.,"@ZK_D, @ZK_A","@ZK_A, @ZK_C, @ZK_B",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Coloso Salvaje @ZR_DEF y El Coloso Salvaje @ZC_PREC y El Coloso Salvaje @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+ANT+PNT,El Bárbaro del Octágono,B,=,@EQUIL El Guardián y El Bárbaro del Octágono.,"@ZK_D, @ZK_A","@ZK_C, @ZK_B, @ZK_A",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Bárbaro del Octágono @ZC_PREC y El Bárbaro del Octágono @ZB_ACT y El Bárbaro del Octágono @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PNT,El Guardián,PT+PNT+ANT,El Titán Silencioso,B,=,@EQUIL El Guardián y El Titán Silencioso.,"@ZK_D, @ZK_A","@ZK_C, @ZK_A, @ZK_B",El Guardián @ZD_TEC y El Guardián @ZR_DEF,El Titán Silencioso @ZC_PREC y El Titán Silencioso @ZR_DEF y El Titán Silencioso @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT,El Depredador,B,VA,@VENT_LIG El Depredador.,"@ZK_D, @ZK_C",@ZK_B,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Depredador @ZB_ACT,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT+PT,El Cirujano,AT,El Estratega,B,=,@EQUIL El Cirujano y El Estratega.,"@ZK_D, @ZK_C",@ZK_D,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Estratega @ZD_TEC,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT+PT,El Cirujano,PNT,El Escudo,B,VA,@VENT_LIG El Escudo.,"@ZK_D, @ZK_C",@ZK_A,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Escudo @ZR_DEF,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT+PT,El Cirujano,PT,El Francotirador,A,VL,@VENT_LIG El Cirujano.,"@ZK_D, @ZK_C",@ZK_C,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Francotirador @ZC_PREC,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
AT+PT,El Cirujano,ANT+AT,El Vendaval,B,VL,@VENT_LIG El Vendaval.,"@ZK_D, @ZK_C","@ZK_B, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Vendaval @ZB_ACT y El Vendaval @ZD_TEC,
AT+PT,El Cirujano,AT+ANT,El Huracán,B,VL,@VENT_LIG El Huracán.,"@ZK_D, @ZK_C","@ZK_D, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Huracán @ZD_TEC y El Huracán @ZB_ACT,
AT+PT,El Cirujano,AT+PNT,El Guardián,B,VL,@VENT_LIG El Guardián.,"@ZK_D, @ZK_C","@ZK_D, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Guardián @ZD_TEC y El Guardián @ZR_DEF,
AT+PT,El Cirujano,AT+PT,El Cirujano,=,=,@EQUIL El Cirujano y El Cirujano.,"@ZK_D, @ZK_C","@ZK_D, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,
AT+PT,El Cirujano,PNT+AT,El Bastión Técnico,B,VA,@VENT_LIG El Bastión Técnico.,"@ZK_D, @ZK_C","@ZK_A, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,
AT+PT,El Cirujano,PT+AT,El Maestro del Pulso,A,=,@EQUIL El Cirujano y El Maestro del Pulso.,"@ZK_D, @ZK_C","@ZK_C, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Maestro del Pulso @ZC_PREC y El Maestro del Pulso @ZD_TEC,
AT+PT,El Cirujano,ANT+PNT,La Bestia,B,VA,@VENT_LIG La Bestia.,"@ZK_D, @ZK_C","@ZK_B, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,La Bestia @ZB_ACT y La Bestia @ZR_DEF,
AT+PT,El Cirujano,ANT+PT,El Castigador,B,VL,@VENT_LIG El Castigador.,"@ZK_D, @ZK_C","@ZK_B, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Castigador @ZB_ACT y El Castigador @ZC_PREC,
AT+PT,El Cirujano,PNT+ANT,El Feral,B,VA,@VENT_LIG El Feral.,"@ZK_D, @ZK_C","@ZK_A, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Feral @ZR_DEF y El Feral @ZB_ACT,
AT+PT,El Cirujano,PT+ANT,El Demoledor Silencioso,B,=,@EQUIL El Cirujano y El Demoledor Silencioso.,"@ZK_D, @ZK_C","@ZK_C, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Demoledor Silencioso @ZC_PREC y El Demoledor Silencioso @ZB_ACT,
AT+PT,El Cirujano,PNT+PT,El Ancla,B,VL,@VENT_LIG El Ancla.,"@ZK_D, @ZK_C","@ZK_A, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Ancla @ZR_DEF y El Ancla @ZC_PREC,
AT+PT,El Cirujano,PT+PNT,La Muralla,B,=,@EQUIL El Cirujano y La Muralla.,"@ZK_D, @ZK_C","@ZK_C, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,La Muralla @ZC_PREC y La Muralla @ZR_DEF,
AT+PT,El Cirujano,ANT+AT+PNT,El Coloso del Centro,B,VA,@VENT_LIG El Coloso del Centro.,"@ZK_D, @ZK_C","@ZK_B, @ZK_D, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Coloso del Centro @ZB_ACT y El Coloso del Centro @ZD_TEC y El Coloso del Centro @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT+AT+PT,El Estratega Salvaje,B,VL,@VENT_LIG El Estratega Salvaje.,"@ZK_D, @ZK_C","@ZK_B, @ZK_D, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Estratega Salvaje @ZB_ACT y El Estratega Salvaje @ZD_TEC y El Estratega Salvaje @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT+PNT+AT,,B,VA,@VENT_LIG nan.,"@ZK_D, @ZK_C","@ZK_B, @ZK_A, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,nan @ZB_ACT y nan @ZR_DEF y nan @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT+PT+AT,El Incursor,B,VL,@VENT_LIG El Incursor.,"@ZK_D, @ZK_C","@ZK_B, @ZK_C, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Incursor @ZB_ACT y El Incursor @ZC_PREC y El Incursor @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+ANT+PNT,El Inquebrantable,B,VL,@VENT_LIG El Inquebrantable.,"@ZK_D, @ZK_C","@ZK_D, @ZK_B, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Inquebrantable @ZD_TEC y El Inquebrantable @ZB_ACT y El Inquebrantable @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+ANT+PT,El Arquitecto del Caos,B,VL,@VENT_LIG El Arquitecto del Caos.,"@ZK_D, @ZK_C","@ZK_D, @ZK_B, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Arquitecto del Caos @ZD_TEC y El Arquitecto del Caos @ZB_ACT y El Arquitecto del Caos @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+PNT+ANT,El León Técnico,B,VL,@VENT_LIG El León Técnico.,"@ZK_D, @ZK_C","@ZK_D, @ZK_A, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El León Técnico @ZD_TEC y El León Técnico @ZR_DEF y El León Técnico @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+PNT+PT,El Guerrero del Muro,B,VL,@VENT_LIG El Guerrero del Muro.,"@ZK_D, @ZK_C","@ZK_D, @ZK_A, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Guerrero del Muro @ZD_TEC y El Guerrero del Muro @ZR_DEF y El Guerrero del Muro @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+PT+ANT,El Alquimista del Ritmo,B,=,@EQUIL El Cirujano y El Alquimista del Ritmo.,"@ZK_D, @ZK_C","@ZK_D, @ZK_C, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Alquimista del Ritmo @ZD_TEC y El Alquimista del Ritmo @ZC_PREC y El Alquimista del Ritmo @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,AT+PT+PNT,El Sabio de Hierro,B,=,@EQUIL El Cirujano y El Sabio de Hierro.,"@ZK_D, @ZK_C","@ZK_D, @ZK_C, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Sabio de Hierro @ZD_TEC y El Sabio de Hierro @ZC_PREC y El Sabio de Hierro @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+ANT+AT,El Fénix del Caos,B,VA,@VENT_LIG El Fénix del Caos.,"@ZK_D, @ZK_C","@ZK_A, @ZK_B, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Fénix del Caos @ZR_DEF y El Fénix del Caos @ZB_ACT y El Fénix del Caos @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+AT+ANT,El Legionario,B,VA,@VENT_LIG El Legionario.,"@ZK_D, @ZK_C","@ZK_A, @ZK_D, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Legionario @ZR_DEF y El Legionario @ZD_TEC y El Legionario @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+AT+PT,El Centinela de Acero,B,VL,@VENT_LIG El Centinela de Acero.,"@ZK_D, @ZK_C","@ZK_A, @ZK_D, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Centinela de Acero @ZR_DEF y El Centinela de Acero @ZD_TEC y El Centinela de Acero @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+PT+AT,El Bastión del Ritmo,B,VL,@VENT_LIG El Bastión del Ritmo.,"@ZK_D, @ZK_C","@ZK_A, @ZK_C, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Bastión del Ritmo @ZR_DEF y El Bastión del Ritmo @ZC_PREC y El Bastión del Ritmo @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+ANT+AT,El Constructor del Combate,B,=,@EQUIL El Cirujano y El Constructor del Combate.,"@ZK_D, @ZK_C","@ZK_C, @ZK_B, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Constructor del Combate @ZC_PREC y El Constructor del Combate @ZB_ACT y El Constructor del Combate @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+AT+ANT,El Estrangulador Táctico,B,=,@EQUIL El Cirujano y El Estrangulador Táctico.,"@ZK_D, @ZK_C","@ZK_C, @ZK_D, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Estrangulador Táctico @ZC_PREC y El Estrangulador Táctico @ZD_TEC y El Estrangulador Táctico @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+AT+PNT,El Táctico Blindado,B,=,@EQUIL El Cirujano y El Táctico Blindado.,"@ZK_D, @ZK_C","@ZK_C, @ZK_D, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Táctico Blindado @ZC_PREC y El Táctico Blindado @ZD_TEC y El Táctico Blindado @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+PNT+AT,El Monje de la Jaula,B,=,@EQUIL El Cirujano y El Monje de la Jaula.,"@ZK_D, @ZK_C","@ZK_C, @ZK_A, @ZK_D",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Monje de la Jaula @ZC_PREC y El Monje de la Jaula @ZR_DEF y El Monje de la Jaula @ZD_TEC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT+PNT+PT,El Ciclón Imparable,B,VL,@VENT_LIG El Ciclón Imparable.,"@ZK_D, @ZK_C","@ZK_B, @ZK_A, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Ciclón Imparable @ZB_ACT y El Ciclón Imparable @ZR_DEF y El Ciclón Imparable @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,ANT+PT+PNT,El Gladiador Salvaje,B,VL,@VENT_LIG El Gladiador Salvaje.,"@ZK_D, @ZK_C","@ZK_B, @ZK_C, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Gladiador Salvaje @ZB_ACT y El Gladiador Salvaje @ZC_PREC y El Gladiador Salvaje @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+ANT+PT,El Martillo de Hierro,B,VA,@VENT_LIG El Martillo de Hierro.,"@ZK_D, @ZK_C","@ZK_A, @ZK_B, @ZK_C",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Martillo de Hierro @ZR_DEF y El Martillo de Hierro @ZB_ACT y El Martillo de Hierro @ZC_PREC,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PNT+PT+ANT,El Coloso Salvaje,B,VL,@VENT_LIG El Coloso Salvaje.,"@ZK_D, @ZK_C","@ZK_A, @ZK_C, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Coloso Salvaje @ZR_DEF y El Coloso Salvaje @ZC_PREC y El Coloso Salvaje @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+ANT+PNT,El Bárbaro del Octágono,B,=,@EQUIL El Cirujano y El Bárbaro del Octágono.,"@ZK_D, @ZK_C","@ZK_C, @ZK_B, @ZK_A",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Bárbaro del Octágono @ZC_PREC y El Bárbaro del Octágono @ZB_ACT y El Bárbaro del Octágono @ZR_DEF,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
AT+PT,El Cirujano,PT+PNT+ANT,El Titán Silencioso,B,=,@EQUIL El Cirujano y El Titán Silencioso.,"@ZK_D, @ZK_C","@ZK_C, @ZK_A, @ZK_B",El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,El Titán Silencioso @ZC_PREC y El Titán Silencioso @ZR_DEF y El Titán Silencioso @ZB_ACT,Enfrentamiento entre arquetipo dual y triple. La versatilidad del arquetipo triple podría marcar la diferencia si logra adaptarse correctamente.
PNT+AT,El Bastión Técnico,ANT,El Depredador,B,VL,@VENT_LIG El Depredador.,"@ZK_A, @ZK_D",@ZK_B,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Depredador @ZB_ACT,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
PNT+AT,El Bastión Técnico,AT,El Estratega,A,VA,@VENT_LIG El Bastión Técnico.,"@ZK_A, @ZK_D",@ZK_D,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Estratega @ZD_TEC,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
PNT+AT,El Bastión Técnico,PNT,El Escudo,B,VL,@VENT_LIG El Escudo.,"@ZK_A, @ZK_D",@ZK_A,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Escudo @ZR_DEF,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
PNT+AT,El Bastión Técnico,PT,El Francotirador,A,VL,@VENT_LIG El Bastión Técnico.,"@ZK_A, @ZK_D",@ZK_C,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Francotirador @ZC_PREC,Enfrentamiento entre arquetipo dual y simple. El arquetipo dual ofrece mayor flexibilidad táctica pero debe ejecutar correctamente sus transiciones.
PNT+AT,El Bastión Técnico,ANT+AT,El Vendaval,=,=,@EQUIL El Bastión Técnico y El Vendaval.,"@ZK_A, @ZK_D","@ZK_B, @ZK_D",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Vendaval @ZB_ACT y El Vendaval @ZD_TEC,
PNT+AT,El Bastión Técnico,AT+ANT,El Huracán,A,=,@EQUIL El Bastión Técnico y El Huracán.,"@ZK_A, @ZK_D","@ZK_D, @ZK_B",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Huracán @ZD_TEC y El Huracán @ZB_ACT,
PNT+AT,El Bastión Técnico,AT+PNT,El Guardián,A,=,@EQUIL El Bastión Técnico y El Guardián.,"@ZK_A, @ZK_D","@ZK_D, @ZK_A",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Guardián @ZD_TEC y El Guardián @ZR_DEF,
PNT+AT,El Bastión Técnico,AT+PT,El Cirujano,A,VA,@VENT_LIG El Bastión Técnico.,"@ZK_A, @ZK_D","@ZK_D, @ZK_C",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Cirujano @ZD_TEC y El Cirujano @ZC_PREC,
PNT+AT,El Bastión Técnico,PNT+AT,El Bastión Técnico,=,=,@EQUIL El Bastión Técnico y El Bastión Técnico.,"@ZK_A, @ZK_D","@ZK_A, @ZK_D",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,
PNT+AT,El Bastión Técnico,PT+AT,El Maestro del Pulso,A,VA,@VENT_LIG El Bastión Técnico.,"@ZK_A, @ZK_D","@ZK_C, @ZK_D",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Maestro del Pulso @ZC_PREC y El Maestro del Pulso @ZD_TEC,
PNT+AT,El Bastión Técnico,ANT+PNT,La Bestia,B,VL,@VENT_LIG La Bestia.,"@ZK_A, @ZK_D","@ZK_B, @ZK_A",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,La Bestia @ZB_ACT y La Bestia @ZR_DEF,
PNT+AT,El Bastión Técnico,ANT+PT,El Castigador,B,=,@EQUIL El Bastión Técnico y El Castigador.,"@ZK_A, @ZK_D","@ZK_B, @ZK_C",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Castigador @ZB_ACT y El Castigador @ZC_PREC,
PNT+AT,El Bastión Técnico,PNT+ANT,El Feral,B,VL,@VENT_LIG El Feral.,"@ZK_A, @ZK_D","@ZK_A, @ZK_B",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Feral @ZR_DEF y El Feral @ZB_ACT,
PNT+AT,El Bastión Técnico,PT+ANT,El Demoledor Silencioso,A,=,@EQUIL El Bastión Técnico y El Demoledor Silencioso.,"@ZK_A, @ZK_D","@ZK_C, @ZK_B",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Demoledor Silencioso @ZC_PREC y El Demoledor Silencioso @ZB_ACT,
PNT+AT,El Bastión Técnico,PNT+PT,El Ancla,B,=,@EQUIL El Bastión Técnico y El Ancla.,"@ZK_A, @ZK_D","@ZK_A, @ZK_C",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,El Ancla @ZR_DEF y El Ancla @ZC_PREC,
PNT+AT,El Bastión Técnico,PT+PNT,La Muralla,A,=,@EQUIL El Bastión Técnico y La Muralla.,"@ZK_A, @ZK_D","@ZK_C, @ZK_A",El Bastión Técnico @ZR_DEF y El Bastión Técnico @ZD_TEC,La Muralla @ZC_PREC y La Muralla @ZR_DEF,
