Fighter,Division,division_ranking,Birth_Date,Career_Record,Sig_Strikes_Thrown,Sig_Strikes_Landed,Sig_Strikes_Absorbed,Takedowns_Attempted,Takedowns_Successful,Takedowns_Defended,Sub_Attempts,Sub_Attempts_Defended,Knockdowns,Knockdowns_Received,Control_Time_Seconds,Time_Controlled_Seconds,height_inches,reach_inches,win,loss,draws,win_kotko,win_sub,win_decision,loss_kotko,loss_sub,loss_decision,Fight_Duration_Seconds,significant_strikes_attempted_against,takedowns_attempted_against,takedowns_allowed,submission_attempts_against,Number_of_Fights_36m,Dates_36m,picture_url,ufcstats_url
Miesha Tate (Cupcake),W_Bantamweight,14,18-08-1986,20-10-0,152,72,69,12,5,1,1,0,0,0,960,46,66,65,1,1,0,0,1,0,0,0,1,787,128,1,0,0,2,"03-05-2025:3143bf892608139a:L,02-12-2023:86d9dbe1bfcbade7:W",img/miesha_tate.png,http://ufcstats.com/fighter-details/b96619b3acd7d9da
Joselyne Edwards (La Pantera),W_Bantamweight,11,29-09-1995,17-6-0,470,257,203,23,12,11,5,0,1,1,1455,1016,68,70,5,2,0,2,2,1,0,0,2,618,414,19,8,0,7,"21-02-2026:f2b3f4ef3f780168:W,09-08-2025:b1e5bcaad32a3cac:W,26-04-2025:af9efbfd63d39734:W,19-10-2024:4f3064faf17aa711:W,01-06-2024:06e4245d16fc5315:L,02-09-2023:f2b3f4ef3f780168:L,15-04-2023:3cf66c62d9069f43:W",img/joselyne_edwards.png,http://ufcstats.com/fighter-details/f9ab66e67240db7b
Daria Zhelezniakova (Iron Lady),W_Bantamweight,,23-01-1996,10-2-0,385,161,96,1,1,8,0,0,0,0,40,601,69,68,2,1,0,0,0,2,0,1,0,677,307,16,8,1,3,"21-06-2025:bd532e9a2b93870c:W,28-09-2024:06e4245d16fc5315:L,23-03-2024:60193e707634e560:W",img/daria_zhelezniakova.png,http://ufcstats.com/fighter-details/07047eb7d17fb0a2
Valentina Shevchenko (Bullet),W_Flyweight,0,07-03-1988,26-4-1,476,238,205,34,19,16,1,3,1,1,2397,681,65,66,3,0,1,0,0,3,0,0,0,1500,561,19,3,3,4,"15-11-2025:1ebe20ebbfa15e29:W,10-05-2025:34ff304266360297:W,14-09-2024:e8b731feff72294b:W,16-09-2023:e8b731feff72294b:D",img/valentina_shevchenko.png,http://ufcstats.com/fighter-details/132deb59abae64b1
Alexa Grasso,W_Flyweight,4,09-08-1993,16-5-1,442,147,190,8,2,7,3,1,1,0,248,1496,65,66,0,2,1,0,0,0,0,0,2,1300,423,19,12,1,3,"10-05-2025:262d32ebda89efc4:L,14-09-2024:132deb59abae64b1:L,16-09-2023:132deb59abae64b1:D",img/alexa_grasso.png,http://ufcstats.com/fighter-details/e8b731feff72294b
Manon Fiorot (The Beast),W_Flyweight,2,17-02-1990,13-2-0,771,317,264,17,2,16,0,1,0,1,510,185,67,65,3,1,0,1,0,2,0,0,1,993,699,18,2,1,4,"18-10-2025:a9e260472d321361:W,10-05-2025:132deb59abae64b1:L,30-03-2024:669970f7feba8ecd:W,02-09-2023:47b63240018d5d86:W",img/manon_fiorot.png,http://ufcstats.com/fighter-details/34ff304266360297
Katlyn Cerminara (Blonde Fighter),W_Flyweight,,28-12-1988,18-6-0,152,66,84,6,1,0,0,0,0,0,172,285,69,68,0,1,0,0,0,0,0,0,1,900,150,4,4,0,1,09-03-2024:6a740daf1b279661:L,img/katlyn_cerminara.png,http://ufcstats.com/fighter-details/e872e9a9a902c045
Erin Blanchfield (Cold Blooded),W_Flyweight,3,04-05-1999,14-2-0,911,353,367,28,4,11,2,0,0,0,1233,107,64,66,3,1,0,0,1,2,0,0,1,1121,859,14,3,0,4,"15-11-2025:68d4a891e5cf2029:W,02-11-2024:47b63240018d5d86:W,30-03-2024:34ff304266360297:L,26-08-2023:f7467152fd9f18a2:W",img/erin_blanchfield.png,http://ufcstats.com/fighter-details/669970f7feba8ecd
Rose Namajunas (Thug),W_Flyweight,6,29-06-1992,15-8-0,943,394,385,27,10,17,0,1,2,0,1377,906,65,65,3,3,0,0,0,3,0,0,3,1200,1181,26,9,1,6,"24-01-2026:262d32ebda89efc4:L,14-06-2025:f29a6350c69f4a33:W,02-11-2024:669970f7feba8ecd:L,13-07-2024:68d4a891e5cf2029:W,23-03-2024:beecb672a279223e:W,02-09-2023:34ff304266360297:L",img/rose_namajunas.png,http://ufcstats.com/fighter-details/47b63240018d5d86
Maycee Barber (The Future),W_Flyweight,5,18-05-1998,15-2-0,486,268,161,12,9,7,0,0,0,0,792,845,65,65,4,0,0,1,0,3,0,0,0,805,374,17,10,0,4,"06-12-2025:9d62c2d8ee151f08:W,09-03-2024:e872e9a9a902c045:W,24-06-2023:beecb672a279223e:W,25-03-2023:05fa626cb33d15b8:W",img/maycee_barber.png,http://ufcstats.com/fighter-details/6a740daf1b279661
Jessica Andrade (Bate Estaca),W_Strawweight,9,25-09-1991,26-15-0,783,309,415,3,1,19,0,1,4,1,411,358,61,62,2,5,0,1,0,1,1,2,2,555,866,24,5,3,7,"16-08-2025:8e5d953bdb9ae5e7:L,10-05-2025:a9e260472d321361:L,07-09-2024:262d32ebda89efc4:L,13-04-2024:cd2c4d30c6e13b47:W,11-11-2023:7447e9f28508106a:W,05-08-2023:b08012bbe542592a:L,06-05-2023:c41d426cc7326d1b:L",img/jessica_andrade.png,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viviane Araujo (Vivi),W_Flyweight,,21-11-1986,13-7-0,249,120,202,18,6,11,2,2,0,0,1032,792,64,68,2,2,0,0,0,2,0,0,2,900,464,17,6,2,4,"28-06-2025:68d4a891e5cf2029:L,16-11-2024:9d62c2d8ee151f08:W,03-02-2024:262d32ebda89efc4:L,14-10-2023:8e1f36476ef02a6a:W",img/viviane_araujo.png,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Andrea Lee (KGB),W_Flyweight,,11-02-1989,13-11-0,657,246,328,14,8,9,2,1,0,0,536,439,66,69,0,5,0,0,0,0,0,0,5,900,754,19,10,1,5,"01-03-2025:6fd953151d981979:L,08-06-2024:80d8aed0ca9b00f3:L,17-02-2024:f29a6350c69f4a33:L,19-08-2023:262d32ebda89efc4:L,25-03-2023:6a740daf1b279661:L",img/andrea_lee.png,http://ufcstats.com/fighter-details/05fa626cb33d15b8
Miranda Maverick (Fear The),W_Flyweight,9,01-07-1997,17-6-0,544,244,175,36,10,6,2,3,0,1,1731,1137,63,65,4,2,0,0,1,3,0,0,2,871,476,13,7,3,6,"14-06-2025:47b63240018d5d86:L,14-12-2024:5c637af9472ae7cc:W,20-07-2024:27b388f0aab49780:W,17-02-2024:05fa626cb33d15b8:W,29-07-2023:b1e5bcaad32a3cac:W,10-06-2023:a9e260472d321361:L",img/miranda_maverick.png,http://ufcstats.com/fighter-details/f29a6350c69f4a33
Casey O'Neill (King),W_Flyweight,12,07-10-1997,10-2-0,531,251,250,5,0,8,1,0,0,0,161,282,66,69,1,2,0,0,0,1,0,1,1,726,573,10,2,1,3,"17-08-2024:5078e1dacf9d25f4:W,16-12-2023:6551c64fbcd1a467:L,18-03-2023:8e1f36476ef02a6a:L",img/casey_oneill.png,http://ufcstats.com/fighter-details/04835018f90b118c
Jasmine Jasudavicius,W_Flyweight,7,01-03-1989,14-4-0,794,382,328,34,16,4,6,1,1,0,2635,96,67,68,6,2,0,0,3,3,1,0,1,680,669,5,1,1,8,"18-10-2025:34ff304266360297:L,10-05-2025:6a1901c62ab3870f:W,01-02-2025:cc8c623cca88f54f:W,02-11-2024:6551c64fbcd1a467:W,13-07-2024:745fa7b605f8e2da:W,20-01-2024:b1e5bcaad32a3cac:W,16-09-2023:68d4a891e5cf2029:L,10-06-2023:f29a6350c69f4a33:W",img/jasmine_jasudavicius.png,http://ufcstats.com/fighter-details/a9e260472d321361
Karine Silva (Killer),W_Flyweight,10,02-12-1993,19-6-0,385,165,192,21,11,3,5,2,1,0,1145,1070,65,67,4,2,0,0,2,2,0,0,2,667,393,12,9,2,6,"06-12-2025:6a740daf1b279661:L,16-08-2025:27b388f0aab49780:W,16-11-2024:36541f1e6c5d4955:L,27-04-2024:6551c64fbcd1a467:W,19-08-2023:b4192a975027aab6:W,03-06-2023:8bd4200561c77a62:W",img/karine_silva.png,http://ufcstats.com/fighter-details/9d62c2d8ee151f08
Tracy Cortez,W_Flyweight,8,10-12-1993,12-3-0,617,272,247,14,6,9,1,0,0,1,611,842,65,65,2,2,0,0,0,2,0,1,1,971,553,18,9,1,4,"15-11-2025:669970f7feba8ecd:L,28-06-2025:36541f1e6c5d4955:W,13-07-2024:47b63240018d5d86:L,16-09-2023:a9e260472d321361:W",img/tracy_cortez.png,http://ufcstats.com/fighter-details/68d4a891e5cf2029
Wang Cong (The Joker),Catch Weight,,15-05-1992,9-1-0,611,341,125,3,2,16,1,1,3,1,212,517,66,66,4,1,0,1,0,3,0,1,0,658,342,19,3,2,5,"07-02-2026:de594b35c45c2e9a:W,07-06-2025:6551c64fbcd1a467:W,08-02-2025:7138a15258dabf20:W,23-11-2024:a6eb54ae17a551be:L,24-08-2024:9dedfdd91070ddd8:W",img/wang_cong.png,http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a
Zhang Weili (Magnum),W_Flyweight,,13-08-1989,26-4-0,559,354,120,20,13,15,3,2,1,1,2431,1334,64,63,3,1,0,0,0,3,0,0,1,1500,252,24,9,2,4,"15-11-2025:132deb59abae64b1:L,08-02-2025:b08012bbe542592a:W,13-04-2024:c41d426cc7326d1b:W,19-08-2023:3df5493bb279226f:W",img/zhang_weili.png,http://ufcstats.com/fighter-details/1ebe20ebbfa15e29
Tatiana Suarez,W_Strawweight,2,19-12-1990,12-1-0,124,55,87,30,7,2,1,2,0,0,1072,705,65,66,2,1,0,0,1,1,0,0,1,930,149,3,1,2,3,"13-09-2025:3df5493bb279226f:W,08-02-2025:1ebe20ebbfa15e29:L,05-08-2023:6a1901c62ab3870f:W",img/tatiana_suarez.png,http://ufcstats.com/fighter-details/b08012bbe542592a
Yan Xiaonan,W_Strawweight,4,16-06-1989,19-5-0 (1 NC),326,164,144,3,3,13,0,5,2,0,169,1379,65,63,2,2,0,1,0,1,0,0,2,860,312,23,10,5,4,"12-04-2025:7dda2cf308f24a02:L,23-11-2024:d25240135aee03e5:W,13-04-2024:1ebe20ebbfa15e29:L,06-05-2023:6a1901c62ab3870f:W",img/yan_xiaonan.png,http://ufcstats.com/fighter-details/c41d426cc7326d1b
Amanda Lemos,W_Strawweight,5,22-05-1987,15-5-1,279,144,222,8,6,20,5,3,1,1,963,3089,64,65,2,4,0,0,0,2,0,1,3,948,360,35,15,4,6,"14-03-2026:38c7f72747f4f712:L,13-09-2025:b08012bbe542592a:L,08-03-2025:abcf2cc6efc42031:W,20-07-2024:7dda2cf308f24a02:L,17-02-2024:7447e9f28508106a:W,19-08-2023:1ebe20ebbfa15e29:L",img/amanda_lemos.png,http://ufcstats.com/fighter-details/3df5493bb279226f
Mackenzie Dern,W_Strawweight,0,24-03-1993,16-5-0,858,413,350,32,9,9,1,1,1,5,1816,1681,64,63,4,2,0,0,1,3,1,0,1,1031,714,24,15,1,6,"25-10-2025:7dda2cf308f24a02:W,11-01-2025:beecb672a279223e:W,03-08-2024:8e5d953bdb9ae5e7:W,17-02-2024:3df5493bb279226f:L,11-11-2023:6a1901c62ab3870f:L,20-05-2023:f0feeb2192937424:W",img/mackenzie_dern.png,http://ufcstats.com/fighter-details/7447e9f28508106a
Virna Jandiroba (Carcara),W_Strawweight,3,30-05-1988,22-4-0,396,176,208,49,18,6,10,1,0,0,2650,420,63,64,4,1,0,0,1,3,0,0,1,957,441,8,2,1,5,"25-10-2025:7447e9f28508106a:L,12-04-2025:c41d426cc7326d1b:W,20-07-2024:3df5493bb279226f:W,30-03-2024:8e5d953bdb9ae5e7:W,06-05-2023:cd2c4d30c6e13b47:W",img/virna_jandiroba.png,http://ufcstats.com/fighter-details/7dda2cf308f24a02
Marina Rodriguez,W_Strawweight,,29-04-1987,17-6-2,508,222,175,2,2,11,2,0,0,0,139,1725,66,65,1,4,0,1,0,0,1,0,3,717,369,21,10,0,5,"03-05-2025:38c7f72747f4f712:L,05-10-2024:abcf2cc6efc42031:L,13-04-2024:6a1901c62ab3870f:L,23-09-2023:eb04b9d31e938edb:W,06-05-2023:7dda2cf308f24a02:L",img/marina_rodriguez.png,http://ufcstats.com/fighter-details/cd2c4d30c6e13b47
Angela Hill (Overkill),W_Strawweight,14,12-01-1985,18-16-0,911,488,563,28,9,24,2,0,0,1,1489,1819,63,64,3,4,0,0,1,2,0,0,4,936,1154,39,15,0,7,"15-11-2025:745fa7b605f8e2da:L,09-08-2025:abcf2cc6efc42031:L,15-02-2025:8bd4200561c77a62:W,24-08-2024:d25240135aee03e5:L,18-05-2024:a3a542074109b347:W,04-11-2023:cffb87059e645bd1:W,20-05-2023:7447e9f28508106a:L",img/angela_hill.png,http://ufcstats.com/fighter-details/f0feeb2192937424
Michelle Waterson-Gomez (The Karate Hottie),W_Strawweight,,06-01-1986,18-13-0,272,95,191,9,3,9,0,2,0,0,249,962,63,62,0,3,0,0,0,0,1,0,2,754,329,12,3,2,3,"29-06-2024:38c7f72747f4f712:L,23-09-2023:cd2c4d30c6e13b47:L,08-04-2023:a3a542074109b347:L",img/michelle_waterson-gomez.png,http://ufcstats.com/fighter-details/eb04b9d31e938edb
Loopy Godinez,W_Strawweight,6,06-09-1993,14-5-0,1282,634,582,39,14,23,7,3,1,0,1162,786,62,61,6,2,0,0,1,5,0,0,2,852,1589,28,5,3,8,"16-08-2025:6a1901c62ab3870f:W,29-03-2025:abb68e3c7ca128f2:W,03-08-2024:7447e9f28508106a:L,30-03-2024:7dda2cf308f24a02:L,11-11-2023:d25240135aee03e5:W,16-09-2023:ac7c765882f2c68c:W,20-05-2023:02f8fedc18cbd26c:W,08-04-2023:98215d037be5bcb7:W",img/loopy_godinez.png,http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7
Iasmin Lucindo,W_Strawweight,,08-01-2002,18-6-0,518,252,190,25,15,11,1,1,0,0,1456,750,63,66,5,1,0,0,1,4,0,0,1,837,511,16,5,1,6,"09-08-2025:f0feeb2192937424:W,08-03-2025:3df5493bb279226f:L,05-10-2024:cd2c4d30c6e13b47:W,04-05-2024:d7c3816669784109:W,12-08-2023:9673a497a9da119a:W,22-04-2023:4333a8e70a672eb7:W",img/iasmin_lucindo.png,http://ufcstats.com/fighter-details/abcf2cc6efc42031
Tabatha Ricci (Baby Shark),W_Strawweight,7,21-02-1995,12-3-0,1100,388,474,35,9,10,0,0,0,0,1006,61,61,61,4,2,0,1,0,3,0,0,2,829,1108,12,2,0,6,"26-07-2025:beecb672a279223e:W,23-11-2024:c41d426cc7326d1b:L,24-08-2024:f0feeb2192937424:W,11-05-2024:31ef8b67e13495b3:W,11-11-2023:8e5d953bdb9ae5e7:L,24-06-2023:38c7f72747f4f712:W",img/tabatha_ricci.png,http://ufcstats.com/fighter-details/d25240135aee03e5
Gillian Robertson (The Savage),W_Strawweight,8,17-05-1995,16-8-0,577,282,233,42,17,5,4,2,0,0,2900,279,65,63,6,1,0,2,1,3,0,0,1,725,636,11,6,2,7,"14-03-2026:3df5493bb279226f:W,03-05-2025:cd2c4d30c6e13b47:W,09-11-2024:a3a542074109b347:W,29-06-2024:eb04b9d31e938edb:W,20-01-2024:9673a497a9da119a:W,24-06-2023:d25240135aee03e5:L,15-04-2023:e375cb5caf4717b6:W",img/gillian_robertson.png,http://ufcstats.com/fighter-details/38c7f72747f4f712
Amanda Ribas,W_Strawweight,10,26-08-1993,13-7-0,696,252,290,17,9,13,0,0,1,0,638,1097,64,66,1,4,0,1,0,0,2,1,1,846,550,17,4,1,5,"26-07-2025:d25240135aee03e5:L,11-01-2025:7447e9f28508106a:L,23-03-2024:47b63240018d5d86:L,18-11-2023:a3a542074109b347:W,24-06-2023:6a740daf1b279661:L",img/amanda_ribas.png,http://ufcstats.com/fighter-details/beecb672a279223e
Tecia Pennington (Tiny Tornado),W_Strawweight,,16-08-1989,15-8-0,621,281,186,6,1,24,0,0,0,0,80,868,61,60,2,2,0,0,0,2,0,0,2,900,514,37,13,0,4,"08-11-2025:cffb87059e645bd1:L,17-05-2025:a3a542074109b347:W,05-10-2024:d910665038efc639:W,11-05-2024:d25240135aee03e5:L",img/tecia_pennington.png,http://ufcstats.com/fighter-details/31ef8b67e13495b3
Nassourdine Imavov (The Sniper),Middleweight,2,01-03-1996,17-4-0 (1 NC),686,404,246,10,5,19,2,0,2,0,864,1435,75,75,5,0,0,2,0,3,0,0,0,951,590,21,2,0,6,"06-09-2025:4126a78111c0855a:W,01-02-2025:1338e2c7480bdf9e:W,28-09-2024:2f181c0467965b98:W,08-06-2024:13a0275fa13c4d26:W,03-02-2024:327d5f279895110d:W,10-06-2023:5442f1bc4b47eaf3:NC",img/nassourdine_imavov.png,http://ufcstats.com/fighter-details/881bf86d4cba8578
Patricio Freire (Pitbull),Featherweight,13,07-07-1987,37-8-0,147,72,117,13,6,0,1,0,0,1,227,111,66,67,1,1,0,0,0,1,0,0,1,900,246,1,1,0,2,"19-07-2025:82a5152216251682:W,12-04-2025:cbf5e6f231b55443:L",img/patricio_freire.png,http://ufcstats.com/fighter-details/98a58c26c5b1ed17
Hamdy Abdelwahab (The Hammer),Heavyweight,,22-01-1993,7-1-0 (1 NC),349,198,173,16,10,5,0,0,0,0,707,0,74,72,2,1,0,0,0,2,0,0,1,900,337,5,0,0,3,"25-10-2025:7a5e8c94a86f9895:W,21-06-2025:da7f113b5ea39c43:L,01-02-2025:f41b9f5efc7162d6:W",img/hamdy_abdelwahab.png,http://ufcstats.com/fighter-details/3329d692aea4dc28
Mansur Abdul-Malik,Middleweight,,07-10-1997,9-0-1,182,85,64,4,2,9,1,0,1,0,171,185,74,80,3,0,1,2,1,0,0,0,0,343,124,10,1,0,4,"06-12-2025:6d48a2df51749d91:W,14-06-2025:f14f644d41ade29f:D,22-02-2025:7eaa5e31c2dd86aa:W,09-11-2024:866fd7b1a6c90e7f:W",img/mansur_abdul-malik.png,http://ufcstats.com/fighter-details/841695e02c99a521
Elizeu Zaleski dos Santos (Capoeira),Welterweight,,11-12-1986,25-10-1,467,191,274,20,6,16,2,2,0,2,806,772,71,73,2,3,1,1,0,1,2,0,1,632,543,20,4,2,6,"02-08-2025:84b3e7d38f2d2ec5:L,15-03-2025:c68c68efaa5ca6ef:L,09-11-2024:03dee485905dbc9f:W,01-06-2024:c6aee362c7a7d482:L,04-11-2023:8f765fd5775a8873:D,03-06-2023:029e1293e609fd74:W",img/elizeu_zaleski_dos_santos.png,http://ufcstats.com/fighter-details/8adcbd525fab8d9b
Manolo Zecchini (Angelo Veneziano),Featherweight,,22-10-1996,11-4-0,41,9,26,0,0,0,0,0,0,1,0,3,68,68,0,1,0,0,0,0,1,0,0,231,49,0,0,0,1,02-09-2023:5b03b61f9d90125e:L,img/manolo_zecchini.png,http://ufcstats.com/fighter-details/fd7ab338e4953644
Daniel Zellhuber (Golden Boy),Lightweight,,07-07-1999,15-4-0,1148,424,501,2,0,10,2,0,2,2,149,189,73,77,3,3,0,0,1,2,1,0,2,783,1093,13,3,0,6,"28-02-2026:887961364be5ceb3:L,19-07-2025:511e82663651438d:L,14-09-2024:323d4ca260dfa0ba:L,24-02-2024:3920d0cc288f9b0d:W,16-09-2023:de45aaae23dfa392:W,15-04-2023:f9b200db02b488d9:W",img/daniel_zellhuber.png,http://ufcstats.com/fighter-details/4148802ae4a50768
Israel Adesanya (The Last Stylebender),Middleweight,4,22-07-1989,24-5-0,620,258,291,2,0,8,0,1,1,2,12,277,76,80,1,3,0,1,0,0,1,1,1,877,572,12,4,2,4,"01-02-2025:881bf86d4cba8578:L,17-08-2024:0d7b51c9d2649a6e:L,09-09-2023:0d8011111be000b2:L,08-04-2023:e5549c82bfb5582d:W",img/israel_adesanya.png,http://ufcstats.com/fighter-details/1338e2c7480bdf9e
Mariya Agapova (Money Mashka),W_Flyweight,,07-04-1997,10-5-0,14,3,2,0,0,0,0,2,0,0,0,143,66,68,0,1,0,0,0,0,0,1,0,207,4,1,1,3,1,13-07-2024:5078e1dacf9d25f4:L,img/mariya_agapova.png,http://ufcstats.com/fighter-details/a08ddd04eaffd81d
Jesus Aguilar,Flyweight,,13-03-1996,12-4-0,472,175,166,19,5,18,4,1,1,0,545,1387,64,62,4,2,0,1,1,2,0,0,2,629,424,38,20,1,6,"07-03-2026:3cf18e01cb6cbde3:L,13-09-2025:29162be25ebef5f0:W,15-02-2025:83455a9d17f57dae:L,17-08-2024:2bd98ab77a8daa75:W,24-02-2024:48812daf291a4e23:W,08-07-2023:51c655162e462ceb:W",img/jesus_aguilar.png,http://ufcstats.com/fighter-details/c051c2e12d692b8a
Nick Aguirre (Slick),Bantamweight,,15-01-1996,7-2-0,12,5,28,10,2,0,0,0,0,0,346,205,69,74,0,1,0,0,0,0,0,1,0,658,53,0,0,1,1,18-11-2023:6e743a33d56bdaa4:L,img/nick_aguirre.png,http://ufcstats.com/fighter-details/0978385b2bd9ef9b
Abdul-Kareem Al-Selwady (Pride of Palestine),Lightweight,,10-04-1995,15-4-0,68,38,39,7,3,1,0,0,0,1,164,87,68,69,0,1,0,0,0,0,1,0,0,649,90,5,4,0,1,02-03-2024:8c169fbe1ac33637:L,img/abdul-kareem_al-selwady.png,http://ufcstats.com/fighter-details/597499ac7a5aac62
Alatengheili (The Mongolian Knight),Bantamweight,,14-12-1991,17-10-2,382,117,272,9,5,1,0,0,0,0,565,38,65,66,1,2,0,0,0,1,0,0,2,900,558,1,0,0,3,"26-04-2025:da22387a0407a2dc:L,18-05-2024:102a8fdf8cbf7467:W,14-10-2023:45f0cc9d18f35137:L",img/alatengheili.png,http://ufcstats.com/fighter-details/1897b7b913736a7c
Jose Aldo,Featherweight,,09-09-1986,32-10-0,423,196,200,3,1,12,0,0,1,0,107,673,67,70,1,2,0,0,0,1,0,0,2,900,459,12,0,0,3,"10-05-2025:24656ef4d605c96f:L,05-10-2024:bc711b6dd95c1af6:L,04-05-2024:f2477cf43c4975cc:W",img/jose_aldo.png,http://ufcstats.com/fighter-details/d0f3959b4a9747e6
JJ Aldrich,W_Flyweight,15,29-09-1992,14-7-0,400,213,167,5,2,5,0,1,0,0,722,145,65,67,3,1,0,1,0,2,0,0,1,822,498,9,4,1,4,"01-03-2025:05fa626cb33d15b8:W,11-05-2024:4798e823ada58fe9:L,07-10-2023:80d8aed0ca9b00f3:W,26-08-2023:ec0dcceace7d25a3:W",img/jj_aldrich.png,http://ufcstats.com/fighter-details/6fd953151d981979
Irina Alekseeva (Russian Ronda),W_Bantamweight,,27-06-1990,5-4-0,353,135,198,5,1,3,1,0,1,0,153,923,68,67,1,3,0,0,1,0,0,1,2,591,363,6,3,1,4,"11-10-2025:eff9074bc066f0f2:L,21-06-2025:9f5e3c20ce40b344:L,14-10-2023:bd532e9a2b93870c:L,29-04-2023:5e6294b37bbef029:W",img/irina_alekseeva.png,http://ufcstats.com/fighter-details/103e2e33a60683e1
Talita Alencar (Problem Child),W_Strawweight,,17-10-1990,7-1-1,483,182,164,32,11,2,3,0,0,1,1330,225,61,58,3,1,0,0,1,2,0,0,1,894,415,2,0,0,4,"01-11-2025:c0d5c0c95c59050b:W,05-04-2025:2c483cf443f38ece:W,10-08-2024:1b35af4d1529adf6:L,09-12-2023:02bb48869eb7ac8f:W",img/talita_alencar.png,http://ufcstats.com/fighter-details/d35298b6df168456
Lucas Alexander (The Lion),Featherweight,,28-07-1995,8-5-0,226,130,76,2,0,9,0,0,1,1,188,294,71,73,1,2,0,0,0,1,2,0,0,517,176,13,4,0,3,"01-02-2025:fb37795db81f93f3:L,18-11-2023:57186c150c645200:L,25-03-2023:b93c06d09d1c4ac0:W",img/lucas_alexander.png,http://ufcstats.com/fighter-details/11583163f45c7b31
Bill Algeo (Senor Perfecto),Featherweight,,09-06-1989,18-9-0,461,221,174,5,4,3,1,3,2,0,298,215,72,73,2,2,0,0,1,1,2,0,0,514,341,6,3,3,4,"20-07-2024:e93b04e308913c2e:L,30-03-2024:31f8081c7600da93:L,07-10-2023:262a7d06203657e6:W,15-04-2023:d31cbcdd7d69536d:W",img/bill_algeo.png,http://ufcstats.com/fighter-details/9abc648e76c4493a
Nurullo Aliev (Tajik Eagle),Lightweight,,08-12-2000,11-0-0,205,86,72,7,3,8,1,1,0,0,717,68,70,72,2,0,0,0,0,2,0,0,0,900,172,10,2,1,2,"22-11-2025:52b6bf4528130e86:W,11-01-2025:af65aa688d13eedf:W",img/nurullo_aliev.png,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9
Bekzat Almakhan (The Turan Warrior),Bantamweight,,08-10-1997,12-3-0,146,50,116,1,0,5,0,0,2,0,37,826,67,68,1,2,0,1,0,0,0,0,2,621,183,12,7,0,3,"22-11-2025:4a6dff1b260bcf61:L,10-05-2025:7b433309b0fd12aa:W,02-03-2024:2b6fc1c02736833d:L",img/bekzat_almakhan.png,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1
Lucas Almeida,Featherweight,,31-01-1991,15-5-0,486,165,218,1,0,6,0,0,1,3,64,604,71,71,1,4,0,0,0,1,2,1,1,504,378,11,5,1,5,"11-10-2025:01c9e4013afce141:L,01-03-2025:d964a59c48381cb6:L,15-06-2024:0e46690e55a8df75:W,16-12-2023:8fd808923cffff82:L,17-06-2023:b8bbdeff718dbb7d:L",img/lucas_almeida.png,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Cesar Almeida (Cesinha),Middleweight,,28-03-1988,7-2-0,305,176,117,2,0,15,1,0,1,2,179,1850,73,74,3,2,0,2,0,1,0,0,2,677,217,32,17,0,5,"13-12-2025:084532da3d25f3b8:L,11-01-2025:eae431e70064e046:W,05-10-2024:260bd4cef10b033f:W,01-06-2024:9d83f6da776ff7d6:L,06-04-2024:a817e238b2747404:W",img/cesar_almeida.png,http://ufcstats.com/fighter-details/64d47ef881a437a4
Victor Altamirano (El Magnifico),Flyweight,,23-01-1991,12-5-0,408,192,179,35,13,6,0,1,0,1,670,814,68,70,1,3,0,0,0,1,0,0,3,900,404,13,7,1,4,"28-09-2024:e8fe9c15d348e778:L,24-02-2024:5cdf5339728f580d:L,03-06-2023:c96d9178c9ed9e62:L,25-03-2023:65cdf4ec31143d86:W",img/victor_altamirano.png,http://ufcstats.com/fighter-details/dc7927cd622676a7
Warlley Alves,Middleweight,,04-01-1991,15-8-0,54,28,48,0,0,1,0,0,0,1,37,716,71,72,0,2,0,0,0,0,1,0,1,513,80,7,6,0,2,"18-05-2024:36b8f265bcd1b7a4:L,21-10-2023:b07aed698fba8624:L",img/warlley_alves.png,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Hyder Amil (The Hurricane),Featherweight,,28-05-1990,11-2-0,539,286,190,11,2,5,2,1,1,1,320,659,69,70,3,2,0,2,0,1,1,0,1,464,388,12,7,1,5,"08-11-2025:e00a3dee329a51f7:L,28-06-2025:7d6ceff6747f2de2:L,01-03-2025:e1d40e8782d80bc2:W,20-07-2024:d008d785f6347dc2:W,10-02-2024:9e92e1ca498d7244:W",img/hyder_amil.png,http://ufcstats.com/fighter-details/41cc71cbf210e0fe
Makwan Amirkhani (Mr. Finland),Featherweight,,08-11-1988,17-9-0,24,10,28,3,1,0,0,0,0,0,211,135,70,72,0,1,0,0,0,0,0,1,0,567,46,1,1,1,1,18-03-2023:b8a85389d115e35a:L,img/makwan_amirkhani.png,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
