Tipo_Encuentro,Codigo_A,Apodo_A,Score_AT_A,Score_ANT_A,Score_PT_A,Score_PNT_A,Codigo_B,Apodo_B,Score_AT_B,Score_ANT_B,Score_PT_B,Score_PNT_B,Delta_BASE_ponderado,Dominante,Intensidad,Prediccion_Breve,Zona_Clave,Tactica_A,Tactica_B,Descripcion_Choque
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,AT+PT+ANT,El Alquimista del Ritmo,0.5,0.2,0.3,0.0,0.05,A,Ventaja ligera A,Ligera ventaja para El Guardián.,"Claves en Zona de decisión, Zona de acción vs Zona de decisión, Zona de control, Zona de búsqueda",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Alquimista del Ritmo buscará imponer técnica en zona de decisión y El Alquimista del Ritmo esperará en zona de control con precisión y El Alquimista del Ritmo presionará desde la zona de búsqueda con actividad,"Choque entre El Guardián y El Alquimista del Ritmo, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el alquimista del ritmo buscará imponer técnica en zona de decisión y el alquimista del ritmo esperará en zona de control con precisión y el alquimista del ritmo presionará desde la zona de búsqueda con actividad."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,AT+PT+PNT,El Sabio de Hierro,0.5,0.0,0.3,0.2,0.04,A,Parejo,Combate equilibrado entre El Guardián y El Sabio de Hierro.,"Claves en Zona de decisión, Zona de acción vs Zona de decisión, Zona de control, Zona de acción",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Sabio de Hierro buscará imponer técnica en zona de decisión y El Sabio de Hierro esperará en zona de control con precisión y El Sabio de Hierro se mantendrá defensivo en zona retrasada,"Choque entre El Guardián y El Sabio de Hierro, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el sabio de hierro buscará imponer técnica en zona de decisión y el sabio de hierro esperará en zona de control con precisión y el sabio de hierro se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+ANT+AT,El Fénix del Caos,0.2,0.3,0.0,0.5,-0.065,B,Ventaja ligera B,Ligera ventaja para El Fénix del Caos.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de búsqueda, Zona de decisión",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Fénix del Caos se mantendrá defensivo en zona retrasada y El Fénix del Caos presionará desde la zona de búsqueda con actividad y El Fénix del Caos buscará imponer técnica en zona de decisión,"Choque entre El Guardián y El Fénix del Caos, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el fénix del caos se mantendrá defensivo en zona retrasada y el fénix del caos presionará desde la zona de búsqueda con actividad y el fénix del caos buscará imponer técnica en zona de decisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+AT+ANT,El Legionario,0.3,0.2,0.0,0.5,-0.05,B,Ventaja ligera B,Ligera ventaja para El Legionario.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de decisión, Zona de búsqueda",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Legionario se mantendrá defensivo en zona retrasada y El Legionario buscará imponer técnica en zona de decisión y El Legionario presionará desde la zona de búsqueda con actividad,"Choque entre El Guardián y El Legionario, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el legionario se mantendrá defensivo en zona retrasada y el legionario buscará imponer técnica en zona de decisión y el legionario presionará desde la zona de búsqueda con actividad."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+AT+PT,El Centinela de Acero,0.3,0.0,0.2,0.5,-0.02,B,Parejo,Combate equilibrado entre El Guardián y El Centinela de Acero.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de decisión, Zona de control",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Centinela de Acero se mantendrá defensivo en zona retrasada y El Centinela de Acero buscará imponer técnica en zona de decisión y El Centinela de Acero esperará en zona de control con precisión,"Choque entre El Guardián y El Centinela de Acero, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el centinela de acero se mantendrá defensivo en zona retrasada y el centinela de acero buscará imponer técnica en zona de decisión y el centinela de acero esperará en zona de control con precisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+PT+AT,El Bastión del Ritmo,0.2,0.0,0.3,0.5,-0.02,B,Parejo,Combate equilibrado entre El Guardián y El Bastión del Ritmo.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de control, Zona de decisión",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Bastión del Ritmo se mantendrá defensivo en zona retrasada y El Bastión del Ritmo esperará en zona de control con precisión y El Bastión del Ritmo buscará imponer técnica en zona de decisión,"Choque entre El Guardián y El Bastión del Ritmo, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el bastión del ritmo se mantendrá defensivo en zona retrasada y el bastión del ritmo esperará en zona de control con precisión y el bastión del ritmo buscará imponer técnica en zona de decisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+ANT+AT,El Constructor del Combate,0.2,0.3,0.5,0.0,0.035,A,Parejo,Combate equilibrado entre El Guardián y El Constructor del Combate.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de búsqueda, Zona de decisión",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Constructor del Combate esperará en zona de control con precisión y El Constructor del Combate presionará desde la zona de búsqueda con actividad y El Constructor del Combate buscará imponer técnica en zona de decisión,"Choque entre El Guardián y El Constructor del Combate, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el constructor del combate esperará en zona de control con precisión y el constructor del combate presionará desde la zona de búsqueda con actividad y el constructor del combate buscará imponer técnica en zona de decisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+AT+ANT,El Estrangulador Táctico,0.3,0.2,0.5,0.0,0.05,A,Ventaja ligera A,Ligera ventaja para El Guardián.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de decisión, Zona de búsqueda",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Estrangulador Táctico esperará en zona de control con precisión y El Estrangulador Táctico buscará imponer técnica en zona de decisión y El Estrangulador Táctico presionará desde la zona de búsqueda con actividad,"Choque entre El Guardián y El Estrangulador Táctico, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el estrangulador táctico esperará en zona de control con precisión y el estrangulador táctico buscará imponer técnica en zona de decisión y el estrangulador táctico presionará desde la zona de búsqueda con actividad."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+AT+PNT,El Táctico Blindado,0.3,0.0,0.5,0.2,0.04,A,Parejo,Combate equilibrado entre El Guardián y El Táctico Blindado.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de decisión, Zona de acción",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Táctico Blindado esperará en zona de control con precisión y El Táctico Blindado buscará imponer técnica en zona de decisión y El Táctico Blindado se mantendrá defensivo en zona retrasada,"Choque entre El Guardián y El Táctico Blindado, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el táctico blindado esperará en zona de control con precisión y el táctico blindado buscará imponer técnica en zona de decisión y el táctico blindado se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+PNT+AT,El Monje de la Jaula,0.2,0.0,0.5,0.3,0.02,A,Parejo,Combate equilibrado entre El Guardián y El Monje de la Jaula.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de acción, Zona de decisión",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Monje de la Jaula esperará en zona de control con precisión y El Monje de la Jaula se mantendrá defensivo en zona retrasada y El Monje de la Jaula buscará imponer técnica en zona de decisión,"Choque entre El Guardián y El Monje de la Jaula, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el monje de la jaula esperará en zona de control con precisión y el monje de la jaula se mantendrá defensivo en zona retrasada y el monje de la jaula buscará imponer técnica en zona de decisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,ANT+PNT+PT,El Ciclón Imparable,0.0,0.5,0.2,0.3,-0.055,B,Ventaja ligera B,Ligera ventaja para El Ciclón Imparable.,"Claves en Zona de decisión, Zona de acción vs Zona de búsqueda, Zona de acción, Zona de control",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Ciclón Imparable presionará desde la zona de búsqueda con actividad y El Ciclón Imparable se mantendrá defensivo en zona retrasada y El Ciclón Imparable esperará en zona de control con precisión,"Choque entre El Guardián y El Ciclón Imparable, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el ciclón imparable presionará desde la zona de búsqueda con actividad y el ciclón imparable se mantendrá defensivo en zona retrasada y el ciclón imparable esperará en zona de control con precisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,ANT+PT+PNT,El Gladiador Salvaje,0.0,0.5,0.3,0.2,-0.035,B,Parejo,Combate equilibrado entre El Guardián y El Gladiador Salvaje.,"Claves en Zona de decisión, Zona de acción vs Zona de búsqueda, Zona de control, Zona de acción",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Gladiador Salvaje presionará desde la zona de búsqueda con actividad y El Gladiador Salvaje esperará en zona de control con precisión y El Gladiador Salvaje se mantendrá defensivo en zona retrasada,"Choque entre El Guardián y El Gladiador Salvaje, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el gladiador salvaje presionará desde la zona de búsqueda con actividad y el gladiador salvaje esperará en zona de control con precisión y el gladiador salvaje se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+ANT+PT,El Martillo de Hierro,0.0,0.3,0.2,0.5,-0.065,B,Ventaja ligera B,Ligera ventaja para El Martillo de Hierro.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de búsqueda, Zona de control",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Martillo de Hierro se mantendrá defensivo en zona retrasada y El Martillo de Hierro presionará desde la zona de búsqueda con actividad y El Martillo de Hierro esperará en zona de control con precisión,"Choque entre El Guardián y El Martillo de Hierro, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el martillo de hierro se mantendrá defensivo en zona retrasada y el martillo de hierro presionará desde la zona de búsqueda con actividad y el martillo de hierro esperará en zona de control con precisión."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PNT+PT+ANT,El Coloso Salvaje,0.0,0.2,0.3,0.5,-0.05,B,Ventaja ligera B,Ligera ventaja para El Coloso Salvaje.,"Claves en Zona de decisión, Zona de acción vs Zona de acción, Zona de control, Zona de búsqueda",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Coloso Salvaje se mantendrá defensivo en zona retrasada y El Coloso Salvaje esperará en zona de control con precisión y El Coloso Salvaje presionará desde la zona de búsqueda con actividad,"Choque entre El Guardián y El Coloso Salvaje, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el coloso salvaje se mantendrá defensivo en zona retrasada y el coloso salvaje esperará en zona de control con precisión y el coloso salvaje presionará desde la zona de búsqueda con actividad."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+ANT+PNT,El Bárbaro del Octágono,0.0,0.3,0.5,0.2,-0.005,B,Parejo,Combate equilibrado entre El Guardián y El Bárbaro del Octágono.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de búsqueda, Zona de acción",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Bárbaro del Octágono esperará en zona de control con precisión y El Bárbaro del Octágono presionará desde la zona de búsqueda con actividad y El Bárbaro del Octágono se mantendrá defensivo en zona retrasada,"Choque entre El Guardián y El Bárbaro del Octágono, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el bárbaro del octágono esperará en zona de control con precisión y el bárbaro del octágono presionará desde la zona de búsqueda con actividad y el bárbaro del octágono se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,PT+PNT+ANT,El Titán Silencioso,0.0,0.2,0.5,0.3,-0.01,B,Parejo,Combate equilibrado entre El Guardián y El Titán Silencioso.,"Claves en Zona de decisión, Zona de acción vs Zona de control, Zona de acción, Zona de búsqueda",El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,El Titán Silencioso esperará en zona de control con precisión y El Titán Silencioso se mantendrá defensivo en zona retrasada y El Titán Silencioso presionará desde la zona de búsqueda con actividad,"Choque entre El Guardián y El Titán Silencioso, donde el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada mientras el titán silencioso esperará en zona de control con precisión y el titán silencioso se mantendrá defensivo en zona retrasada y el titán silencioso presionará desde la zona de búsqueda con actividad."
Dual vs Basico,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT,El Depredador,0.0,1.0,0.0,0.0,-0.11,B,Ventaja amplia B,Ligera ventaja para El Depredador.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Depredador presionará desde la zona de búsqueda con actividad,"Choque entre El Cirujano y El Depredador, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el depredador presionará desde la zona de búsqueda con actividad."
Dual vs Basico,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,AT,El Estratega,1.0,0.0,0.0,0.0,-0.04,B,Parejo,Combate equilibrado entre El Cirujano y El Estratega.,"Claves en Zona de decisión, Zona de control vs Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Estratega buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y El Estratega, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el estratega buscará imponer técnica en zona de decisión."
Dual vs Basico,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PNT,El Escudo,0.0,0.0,0.0,1.0,-0.14,B,Ventaja amplia B,Ligera ventaja para El Escudo.,"Claves en Zona de decisión, Zona de control vs Zona de acción",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Escudo se mantendrá defensivo en zona retrasada,"Choque entre El Cirujano y El Escudo, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el escudo se mantendrá defensivo en zona retrasada."
Dual vs Basico,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PT,El Francotirador,0.0,0.0,1.0,0.0,0.06,A,Ventaja ligera A,Ligera ventaja para El Cirujano.,"Claves en Zona de decisión, Zona de control vs Zona de control",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Francotirador esperará en zona de control con precisión,"Choque entre El Cirujano y El Francotirador, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el francotirador esperará en zona de control con precisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+AT,El Vendaval,0.4,0.6,0.0,0.0,-0.082,B,Ventaja ligera B,Ligera ventaja para El Vendaval.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Vendaval presionará desde la zona de búsqueda con actividad y El Vendaval buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y El Vendaval, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el vendaval presionará desde la zona de búsqueda con actividad y el vendaval buscará imponer técnica en zona de decisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,AT+ANT,El Huracán,0.6,0.4,0.0,0.0,-0.068,B,Ventaja ligera B,Ligera ventaja para El Huracán.,"Claves en Zona de decisión, Zona de control vs Zona de decisión, Zona de búsqueda",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Huracán buscará imponer técnica en zona de decisión y El Huracán presionará desde la zona de búsqueda con actividad,"Choque entre El Cirujano y El Huracán, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el huracán buscará imponer técnica en zona de decisión y el huracán presionará desde la zona de búsqueda con actividad."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,AT+PNT,El Guardián,0.6,0.0,0.0,0.4,-0.08,B,Ventaja ligera B,Ligera ventaja para El Guardián.,"Claves en Zona de decisión, Zona de control vs Zona de decisión, Zona de acción",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Guardián buscará imponer técnica en zona de decisión y El Guardián se mantendrá defensivo en zona retrasada,"Choque entre El Cirujano y El Guardián, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el guardián buscará imponer técnica en zona de decisión y el guardián se mantendrá defensivo en zona retrasada."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,0.0,Parejo,Parejo,Combate equilibrado entre El Cirujano y El Cirujano.,"Claves en Zona de decisión, Zona de control vs Zona de decisión, Zona de control",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,"Choque entre El Cirujano y El Cirujano, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PNT+AT,El Bastión Técnico,0.4,0.0,0.0,0.6,-0.1,B,Ventaja amplia B,Ligera ventaja para El Bastión Técnico.,"Claves en Zona de decisión, Zona de control vs Zona de acción, Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Bastión Técnico se mantendrá defensivo en zona retrasada y El Bastión Técnico buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y El Bastión Técnico, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el bastión técnico se mantendrá defensivo en zona retrasada y el bastión técnico buscará imponer técnica en zona de decisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PT+AT,El Maestro del Pulso,0.4,0.0,0.6,0.0,0.02,A,Parejo,Combate equilibrado entre El Cirujano y El Maestro del Pulso.,"Claves en Zona de decisión, Zona de control vs Zona de control, Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Maestro del Pulso esperará en zona de control con precisión y El Maestro del Pulso buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y El Maestro del Pulso, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el maestro del pulso esperará en zona de control con precisión y el maestro del pulso buscará imponer técnica en zona de decisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+PNT,La Bestia,0.0,0.6,0.0,0.4,-0.122,B,Ventaja amplia B,Ligera ventaja para La Bestia.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de acción",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,La Bestia presionará desde la zona de búsqueda con actividad y La Bestia se mantendrá defensivo en zona retrasada,"Choque entre El Cirujano y La Bestia, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras la bestia presionará desde la zona de búsqueda con actividad y la bestia se mantendrá defensivo en zona retrasada."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+PT,El Castigador,0.0,0.6,0.4,0.0,-0.042,B,Ventaja ligera B,Ligera ventaja para El Castigador.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de control",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Castigador presionará desde la zona de búsqueda con actividad y El Castigador esperará en zona de control con precisión,"Choque entre El Cirujano y El Castigador, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el castigador presionará desde la zona de búsqueda con actividad y el castigador esperará en zona de control con precisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PNT+ANT,El Feral,0.0,0.4,0.0,0.6,-0.128,B,Ventaja amplia B,Ligera ventaja para El Feral.,"Claves en Zona de decisión, Zona de control vs Zona de acción, Zona de búsqueda",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Feral se mantendrá defensivo en zona retrasada y El Feral presionará desde la zona de búsqueda con actividad,"Choque entre El Cirujano y El Feral, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el feral se mantendrá defensivo en zona retrasada y el feral presionará desde la zona de búsqueda con actividad."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PT+ANT,El Demoledor Silencioso,0.0,0.4,0.6,0.0,-0.008,B,Parejo,Combate equilibrado entre El Cirujano y El Demoledor Silencioso.,"Claves en Zona de decisión, Zona de control vs Zona de control, Zona de búsqueda",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Demoledor Silencioso esperará en zona de control con precisión y El Demoledor Silencioso presionará desde la zona de búsqueda con actividad,"Choque entre El Cirujano y El Demoledor Silencioso, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el demoledor silencioso esperará en zona de control con precisión y el demoledor silencioso presionará desde la zona de búsqueda con actividad."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PNT+PT,El Ancla,0.0,0.0,0.4,0.6,-0.06,B,Ventaja ligera B,Ligera ventaja para El Ancla.,"Claves en Zona de decisión, Zona de control vs Zona de acción, Zona de control",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Ancla se mantendrá defensivo en zona retrasada y El Ancla esperará en zona de control con precisión,"Choque entre El Cirujano y El Ancla, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el ancla se mantendrá defensivo en zona retrasada y el ancla esperará en zona de control con precisión."
Dual vs Dual,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,PT+PNT,La Muralla,0.0,0.0,0.6,0.4,-0.02,B,Parejo,Combate equilibrado entre El Cirujano y La Muralla.,"Claves en Zona de decisión, Zona de control vs Zona de control, Zona de acción",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,La Muralla esperará en zona de control con precisión y La Muralla se mantendrá defensivo en zona retrasada,"Choque entre El Cirujano y La Muralla, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras la muralla esperará en zona de control con precisión y la muralla se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+AT+PNT,El Coloso del Centro,0.3,0.5,0.0,0.2,-0.095,B,Ventaja amplia B,Ligera ventaja para El Coloso del Centro.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de decisión, Zona de acción",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Coloso del Centro presionará desde la zona de búsqueda con actividad y El Coloso del Centro buscará imponer técnica en zona de decisión y El Coloso del Centro se mantendrá defensivo en zona retrasada,"Choque entre El Cirujano y El Coloso del Centro, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el coloso del centro presionará desde la zona de búsqueda con actividad y el coloso del centro buscará imponer técnica en zona de decisión y el coloso del centro se mantendrá defensivo en zona retrasada."
Dual vs Triple,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+AT+PT,El Estratega Salvaje,0.3,0.5,0.2,0.0,-0.055,B,Ventaja ligera B,Ligera ventaja para El Estratega Salvaje.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de decisión, Zona de control",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Estratega Salvaje presionará desde la zona de búsqueda con actividad y El Estratega Salvaje buscará imponer técnica en zona de decisión y El Estratega Salvaje esperará en zona de control con precisión,"Choque entre El Cirujano y El Estratega Salvaje, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el estratega salvaje presionará desde la zona de búsqueda con actividad y el estratega salvaje buscará imponer técnica en zona de decisión y el estratega salvaje esperará en zona de control con precisión."
Dual vs Triple,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+PNT+AT,,0.2,0.5,0.0,0.3,-0.105,B,Ventaja amplia B,Ligera ventaja para nan.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de acción, Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,nan presionará desde la zona de búsqueda con actividad y nan se mantendrá defensivo en zona retrasada y nan buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y nan, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras nan presionará desde la zona de búsqueda con actividad y nan se mantendrá defensivo en zona retrasada y nan buscará imponer técnica en zona de decisión."
Dual vs Triple,AT+PT,El Cirujano,0.6,0.0,0.4,0.0,ANT+PT+AT,El Incursor,0.2,0.5,0.3,0.0,-0.045,B,Ventaja ligera B,Ligera ventaja para El Incursor.,"Claves en Zona de decisión, Zona de control vs Zona de búsqueda, Zona de control, Zona de decisión",El Cirujano buscará imponer técnica en zona de decisión y El Cirujano esperará en zona de control con precisión,El Incursor presionará desde la zona de búsqueda con actividad y El Incursor esperará en zona de control con precisión y El Incursor buscará imponer técnica en zona de decisión,"Choque entre El Cirujano y El Incursor, donde el cirujano buscará imponer técnica en zona de decisión y el cirujano esperará en zona de control con precisión mientras el incursor presionará desde la zona de búsqueda con actividad y el incursor esperará en zona de control con precisión y el incursor buscará imponer técnica en zona de decisión."
